rank,term,date,count
0,Boekenveilingen.,1779,9
0,Boekenveilingen.,1780,6
0,Boekenveilingen.,1781,8
0,Boekenveilingen.,1782,19
0,Boekenveilingen.,1783,15
0,Boekenveilingen.,1784,9
0,Boekenveilingen.,1785,18
0,Boekenveilingen.,1786,8
0,Boekenveilingen.,1787,11
0,Boekenveilingen.,1788,36
0,Boekenveilingen.,1789,32
0,Boekenveilingen.,1790,21
0,Boekenveilingen.,1791,28
0,Boekenveilingen.,1792,21
0,Boekenveilingen.,1793,28
0,Boekenveilingen.,1794,17
0,Boekenveilingen.,1795,4
0,Boekenveilingen.,1796,11
0,Boekenveilingen.,1797,12
0,Boekenveilingen.,1798,15
0,Boekenveilingen.,1799,11
0,Boekenveilingen.,17uu,1
0,Boekenveilingen.,1800,22
0,Boekenveilingen.,1801,28
0,Boekenveilingen.,1802,11
0,Boekenveilingen.,1803,17
0,Boekenveilingen.,1804,24
0,Boekenveilingen.,1805,20
0,Boekenveilingen.,1806,14
0,Boekenveilingen.,1807,17
0,Boekenveilingen.,1808,23
0,Boekenveilingen.,1809,15
0,Boekenveilingen.,1810,13
0,Boekenveilingen.,1811,24
0,Boekenveilingen.,1812,16
0,Boekenveilingen.,1813,16
0,Boekenveilingen.,1814,19
0,Boekenveilingen.,1815,10
0,Boekenveilingen.,1816,20
0,Boekenveilingen.,1817,24
0,Boekenveilingen.,1818,26
0,Boekenveilingen.,1819,24
0,Boekenveilingen.,1820,17
0,Boekenveilingen.,1821,29
0,Boekenveilingen.,1822,28
0,Boekenveilingen.,1823,36
0,Boekenveilingen.,1824,34
0,Boekenveilingen.,1825,32
0,Boekenveilingen.,1826,32
0,Boekenveilingen.,1827,29
0,Boekenveilingen.,1828,34
0,Boekenveilingen.,1829,53
0,Boekenveilingen.,1830,32
0,Boekenveilingen.,1831,37
0,Boekenveilingen.,1832,44
0,Boekenveilingen.,1833,61
0,Boekenveilingen.,1834,73
0,Boekenveilingen.,1835,57
0,Boekenveilingen.,1836,57
0,Boekenveilingen.,1837,61
0,Boekenveilingen.,1838,30
0,Boekenveilingen.,1839,27
0,Boekenveilingen.,1840,26
0,Boekenveilingen.,1841,25
0,Boekenveilingen.,1842,35
0,Boekenveilingen.,1843,31
0,Boekenveilingen.,1844,32
0,Boekenveilingen.,1845,37
0,Boekenveilingen.,1846,32
0,Boekenveilingen.,1847,42
0,Boekenveilingen.,1848,39
0,Boekenveilingen.,1849,43
0,Boekenveilingen.,1850,43
0,Boekenveilingen.,1851,41
0,Boekenveilingen.,1852,54
0,Boekenveilingen.,1853,52
0,Boekenveilingen.,1854,50
0,Boekenveilingen.,1855,51
0,Boekenveilingen.,1856,40
0,Boekenveilingen.,1857,50
0,Boekenveilingen.,1858,55
0,Boekenveilingen.,1859,50
0,Boekenveilingen.,1860,51
0,Boekenveilingen.,1861,68
0,Boekenveilingen.,1862,59
0,Boekenveilingen.,1863,64
0,Boekenveilingen.,1864,75
0,Boekenveilingen.,1865,84
0,Boekenveilingen.,1866,88
0,Boekenveilingen.,1867,65
0,Boekenveilingen.,1868,83
0,Boekenveilingen.,1869,85
0,Boekenveilingen.,1870,71
0,Boekenveilingen.,1871,71
0,Boekenveilingen.,1872,96
0,Boekenveilingen.,1873,72
0,Boekenveilingen.,1874,78
0,Boekenveilingen.,1875,80
0,Boekenveilingen.,1876,72
0,Boekenveilingen.,1877,85
0,Boekenveilingen.,1878,94
0,Boekenveilingen.,1879,99
0,Boekenveilingen.,1880,79
0,Boekenveilingen.,1881,85
0,Boekenveilingen.,1882,92
0,Boekenveilingen.,1883,86
0,Boekenveilingen.,1884,115
0,Boekenveilingen.,1885,86
0,Boekenveilingen.,1886,93
0,Boekenveilingen.,1887,85
0,Boekenveilingen.,1888,85
0,Boekenveilingen.,1889,106
0,Boekenveilingen.,1890,108
0,Boekenveilingen.,1891,83
0,Boekenveilingen.,1892,89
0,Boekenveilingen.,1893,94
0,Boekenveilingen.,1894,82
0,Boekenveilingen.,1895,93
0,Boekenveilingen.,1896,111
0,Boekenveilingen.,1897,117
0,Boekenveilingen.,1898,103
0,Boekenveilingen.,1899,106
0,Boekenveilingen.,18uu,1
0,Boekenveilingen.,1900,103
0,Boekenveilingen.,1901,114
0,Boekenveilingen.,1902,140
0,Boekenveilingen.,1903,164
0,Boekenveilingen.,1904,160
0,Boekenveilingen.,1905,130
0,Boekenveilingen.,1906,134
0,Boekenveilingen.,1907,151
0,Boekenveilingen.,1908,159
0,Boekenveilingen.,1909,156
0,Boekenveilingen.,1910,202
0,Boekenveilingen.,1911,185
0,Boekenveilingen.,1912,180
0,Boekenveilingen.,1913,218
0,Boekenveilingen.,1914,143
0,Boekenveilingen.,1915,83
0,Boekenveilingen.,1916,156
0,Boekenveilingen.,1917,120
0,Boekenveilingen.,1918,118
0,Boekenveilingen.,1919,118
0,Boekenveilingen.,1920,182
0,Boekenveilingen.,1921,223
0,Boekenveilingen.,1922,219
0,Boekenveilingen.,1923,248
0,Boekenveilingen.,1924,287
0,Boekenveilingen.,1925,298
0,Boekenveilingen.,1926,274
0,Boekenveilingen.,1927,287
0,Boekenveilingen.,1928,315
0,Boekenveilingen.,1929,264
0,Boekenveilingen.,192u,1
0,Boekenveilingen.,1930,246
0,Boekenveilingen.,1931,214
0,Boekenveilingen.,1932,219
0,Boekenveilingen.,1933,207
0,Boekenveilingen.,1934,269
0,Boekenveilingen.,1935,269
0,Boekenveilingen.,1936,269
0,Boekenveilingen.,1937,251
0,Boekenveilingen.,1938,206
0,Boekenveilingen.,1939,166
0,Boekenveilingen.,1940,89
0,Boekenveilingen.,1941,66
0,Boekenveilingen.,1942,55
0,Boekenveilingen.,1943,56
0,Boekenveilingen.,1944,37
0,Boekenveilingen.,1945,71
0,Boekenveilingen.,1946,126
0,Boekenveilingen.,1947,132
0,Boekenveilingen.,1948,136
0,Boekenveilingen.,1949,140
0,Boekenveilingen.,1950,119
0,Boekenveilingen.,1951,115
0,Boekenveilingen.,1952,103
0,Boekenveilingen.,1953,122
0,Boekenveilingen.,1954,132
0,Boekenveilingen.,1955,139
0,Boekenveilingen.,1956,103
0,Boekenveilingen.,1957,105
0,Boekenveilingen.,1958,144
0,Boekenveilingen.,1959,136
0,Boekenveilingen.,1960,135
0,Boekenveilingen.,1961,132
0,Boekenveilingen.,1962,111
0,Boekenveilingen.,1963,141
0,Boekenveilingen.,1964,162
0,Boekenveilingen.,1965,198
0,Boekenveilingen.,1966,184
0,Boekenveilingen.,1967,216
0,Boekenveilingen.,1968,213
0,Boekenveilingen.,1969,183
0,Boekenveilingen.,1970,198
0,Boekenveilingen.,1971,193
0,Boekenveilingen.,1972,174
0,Boekenveilingen.,1973,174
0,Boekenveilingen.,1974,165
0,Boekenveilingen.,1975,206
0,Boekenveilingen.,1976,172
0,Boekenveilingen.,1977,191
0,Boekenveilingen.,1978,238
0,Boekenveilingen.,1979,260
0,Boekenveilingen.,1980,241
0,Boekenveilingen.,1981,223
0,Boekenveilingen.,1982,200
0,Boekenveilingen.,1983,157
0,Boekenveilingen.,1984,138
0,Boekenveilingen.,1985,132
0,Boekenveilingen.,1986,152
0,Boekenveilingen.,1987,152
0,Boekenveilingen.,1988,108
0,Boekenveilingen.,1989,95
0,Boekenveilingen.,1990,72
0,Boekenveilingen.,1991,67
0,Boekenveilingen.,1992,57
0,Boekenveilingen.,1993,32
0,Boekenveilingen.,1994,25
0,Boekenveilingen.,1995,19
0,Boekenveilingen.,1996,13
0,Boekenveilingen.,1997,21
0,Boekenveilingen.,1998,19
0,Boekenveilingen.,1999,20
0,Boekenveilingen.,2000,15
0,Boekenveilingen.,2001,17
0,Boekenveilingen.,2002,15
0,Boekenveilingen.,2003,10
0,Boekenveilingen.,2004,10
1,"15.70 history of Europe.",1541,1
1,"15.70 history of Europe.",1562,1
1,"15.70 history of Europe.",1566,2
1,"15.70 history of Europe.",1567,3
1,"15.70 history of Europe.",1569,1
1,"15.70 history of Europe.",1570,1
1,"15.70 history of Europe.",1574,1
1,"15.70 history of Europe.",1576,1
1,"15.70 history of Europe.",1579,1
1,"15.70 history of Europe.",1580,1
1,"15.70 history of Europe.",1582,1
1,"15.70 history of Europe.",1583,1
1,"15.70 history of Europe.",1585,2
1,"15.70 history of Europe.",1587,1
1,"15.70 history of Europe.",1588,2
1,"15.70 history of Europe.",1589,1
1,"15.70 history of Europe.",1591,1
1,"15.70 history of Europe.",1600,2
1,"15.70 history of Europe.",1602,2
1,"15.70 history of Europe.",1603,1
1,"15.70 history of Europe.",1605,2
1,"15.70 history of Europe.",1606,2
1,"15.70 history of Europe.",1607,1
1,"15.70 history of Europe.",1608,1
1,"15.70 history of Europe.",1609,2
1,"15.70 history of Europe.",160u,1
1,"15.70 history of Europe.",1610,4
1,"15.70 history of Europe.",1611,3
1,"15.70 history of Europe.",1612,1
1,"15.70 history of Europe.",1614,3
1,"15.70 history of Europe.",1616,2
1,"15.70 history of Europe.",1617,3
1,"15.70 history of Europe.",1618,4
1,"15.70 history of Europe.",1619,2
1,"15.70 history of Europe.",1620,1
1,"15.70 history of Europe.",1621,3
1,"15.70 history of Europe.",1622,3
1,"15.70 history of Europe.",1623,1
1,"15.70 history of Europe.",1625,2
1,"15.70 history of Europe.",1626,1
1,"15.70 history of Europe.",1627,2
1,"15.70 history of Europe.",1628,3
1,"15.70 history of Europe.",1629,6
1,"15.70 history of Europe.",1630,3
1,"15.70 history of Europe.",1631,3
1,"15.70 history of Europe.",1632,1
1,"15.70 history of Europe.",1633,7
1,"15.70 history of Europe.",1634,1
1,"15.70 history of Europe.",1635,2
1,"15.70 history of Europe.",1636,1
1,"15.70 history of Europe.",1637,3
1,"15.70 history of Europe.",1638,1
1,"15.70 history of Europe.",1639,3
1,"15.70 history of Europe.",1641,2
1,"15.70 history of Europe.",1642,3
1,"15.70 history of Europe.",1643,2
1,"15.70 history of Europe.",1644,6
1,"15.70 history of Europe.",1645,5
1,"15.70 history of Europe.",1646,5
1,"15.70 history of Europe.",1647,3
1,"15.70 history of Europe.",1648,5
1,"15.70 history of Europe.",1649,5
1,"15.70 history of Europe.",1650,4
1,"15.70 history of Europe.",1651,3
1,"15.70 history of Europe.",1652,2
1,"15.70 history of Europe.",1653,2
1,"15.70 history of Europe.",1654,4
1,"15.70 history of Europe.",1655,6
1,"15.70 history of Europe.",1656,1
1,"15.70 history of Europe.",1657,3
1,"15.70 history of Europe.",1658,2
1,"15.70 history of Europe.",1659,1
1,"15.70 history of Europe.",1660,3
1,"15.70 history of Europe.",1661,2
1,"15.70 history of Europe.",1662,4
1,"15.70 history of Europe.",1663,4
1,"15.70 history of Europe.",1664,2
1,"15.70 history of Europe.",1665,2
1,"15.70 history of Europe.",1666,2
1,"15.70 history of Europe.",1669,1
1,"15.70 history of Europe.",1670,8
1,"15.70 history of Europe.",1672,5
1,"15.70 history of Europe.",1673,2
1,"15.70 history of Europe.",1674,4
1,"15.70 history of Europe.",1675,5
1,"15.70 history of Europe.",1676,2
1,"15.70 history of Europe.",1677,2
1,"15.70 history of Europe.",1678,2
1,"15.70 history of Europe.",1680,1
1,"15.70 history of Europe.",1681,1
1,"15.70 history of Europe.",1682,1
1,"15.70 history of Europe.",1683,1
1,"15.70 history of Europe.",1684,3
1,"15.70 history of Europe.",1685,3
1,"15.70 history of Europe.",1686,2
1,"15.70 history of Europe.",1687,1
1,"15.70 history of Europe.",1688,1
1,"15.70 history of Europe.",1690,3
1,"15.70 history of Europe.",1691,1
1,"15.70 history of Europe.",1692,2
1,"15.70 history of Europe.",1693,1
1,"15.70 history of Europe.",1695,2
1,"15.70 history of Europe.",1696,3
1,"15.70 history of Europe.",1697,2
1,"15.70 history of Europe.",1698,1
1,"15.70 history of Europe.",1699,1
1,"15.70 history of Europe.",169u,1
1,"15.70 history of Europe.",1700,2
1,"15.70 history of Europe.",1701,1
1,"15.70 history of Europe.",1702,3
1,"15.70 history of Europe.",1703,2
1,"15.70 history of Europe.",1704,3
1,"15.70 history of Europe.",1705,1
1,"15.70 history of Europe.",1706,1
1,"15.70 history of Europe.",1707,1
1,"15.70 history of Europe.",1708,1
1,"15.70 history of Europe.",1710,1
1,"15.70 history of Europe.",1711,2
1,"15.70 history of Europe.",1713,4
1,"15.70 history of Europe.",1714,4
1,"15.70 history of Europe.",1715,1
1,"15.70 history of Europe.",1717,5
1,"15.70 history of Europe.",1718,1
1,"15.70 history of Europe.",1719,4
1,"15.70 history of Europe.",1720,4
1,"15.70 history of Europe.",1721,2
1,"15.70 history of Europe.",1722,2
1,"15.70 history of Europe.",1723,2
1,"15.70 history of Europe.",1724,3
1,"15.70 history of Europe.",1725,9
1,"15.70 history of Europe.",1727,1
1,"15.70 history of Europe.",1728,2
1,"15.70 history of Europe.",1729,4
1,"15.70 history of Europe.",1730,6
1,"15.70 history of Europe.",1731,1
1,"15.70 history of Europe.",1732,6
1,"15.70 history of Europe.",1733,9
1,"15.70 history of Europe.",1734,4
1,"15.70 history of Europe.",1735,2
1,"15.70 history of Europe.",1736,7
1,"15.70 history of Europe.",1737,1
1,"15.70 history of Europe.",1738,8
1,"15.70 history of Europe.",1739,1
1,"15.70 history of Europe.",1740,3
1,"15.70 history of Europe.",1741,2
1,"15.70 history of Europe.",1742,3
1,"15.70 history of Europe.",1743,5
1,"15.70 history of Europe.",1744,5
1,"15.70 history of Europe.",1745,5
1,"15.70 history of Europe.",1746,4
1,"15.70 history of Europe.",1747,5
1,"15.70 history of Europe.",1748,3
1,"15.70 history of Europe.",1749,5
1,"15.70 history of Europe.",1750,4
1,"15.70 history of Europe.",1751,3
1,"15.70 history of Europe.",1752,5
1,"15.70 history of Europe.",1753,6
1,"15.70 history of Europe.",1754,4
1,"15.70 history of Europe.",1755,3
1,"15.70 history of Europe.",1756,4
1,"15.70 history of Europe.",1757,10
1,"15.70 history of Europe.",1758,5
1,"15.70 history of Europe.",1759,7
1,"15.70 history of Europe.",1760,5
1,"15.70 history of Europe.",1761,2
1,"15.70 history of Europe.",1762,2
1,"15.70 history of Europe.",1765,3
1,"15.70 history of Europe.",1766,6
1,"15.70 history of Europe.",1767,2
1,"15.70 history of Europe.",1768,3
1,"15.70 history of Europe.",1769,2
1,"15.70 history of Europe.",1770,4
1,"15.70 history of Europe.",1771,9
1,"15.70 history of Europe.",1772,6
1,"15.70 history of Europe.",1773,3
1,"15.70 history of Europe.",1774,1
1,"15.70 history of Europe.",1775,1
1,"15.70 history of Europe.",1776,3
1,"15.70 history of Europe.",1777,3
1,"15.70 history of Europe.",1778,6
1,"15.70 history of Europe.",1779,2
1,"15.70 history of Europe.",1780,5
1,"15.70 history of Europe.",1781,8
1,"15.70 history of Europe.",1782,5
1,"15.70 history of Europe.",1783,5
1,"15.70 history of Europe.",1784,13
1,"15.70 history of Europe.",1785,9
1,"15.70 history of Europe.",1786,8
1,"15.70 history of Europe.",1787,6
1,"15.70 history of Europe.",1788,8
1,"15.70 history of Europe.",1789,5
1,"15.70 history of Europe.",178u,1
1,"15.70 history of Europe.",1790,5
1,"15.70 history of Europe.",1791,2
1,"15.70 history of Europe.",1792,9
1,"15.70 history of Europe.",1793,4
1,"15.70 history of Europe.",1794,3
1,"15.70 history of Europe.",1795,12
1,"15.70 history of Europe.",1796,3
1,"15.70 history of Europe.",1797,2
1,"15.70 history of Europe.",1798,4
1,"15.70 history of Europe.",1799,1
1,"15.70 history of Europe.",17uu,1
1,"15.70 history of Europe.",1800,3
1,"15.70 history of Europe.",1801,11
1,"15.70 history of Europe.",1802,5
1,"15.70 history of Europe.",1803,2
1,"15.70 history of Europe.",1805,1
1,"15.70 history of Europe.",1806,9
1,"15.70 history of Europe.",1807,9
1,"15.70 history of Europe.",1808,4
1,"15.70 history of Europe.",1809,4
1,"15.70 history of Europe.",1810,1
1,"15.70 history of Europe.",1811,2
1,"15.70 history of Europe.",1813,4
1,"15.70 history of Europe.",1814,11
1,"15.70 history of Europe.",1815,6
1,"15.70 history of Europe.",1816,6
1,"15.70 history of Europe.",1817,6
1,"15.70 history of Europe.",1818,4
1,"15.70 history of Europe.",1819,5
1,"15.70 history of Europe.",1820,5
1,"15.70 history of Europe.",1821,4
1,"15.70 history of Europe.",1822,4
1,"15.70 history of Europe.",1823,9
1,"15.70 history of Europe.",1824,13
1,"15.70 history of Europe.",1825,4
1,"15.70 history of Europe.",1826,8
1,"15.70 history of Europe.",1827,9
1,"15.70 history of Europe.",1828,14
1,"15.70 history of Europe.",1829,7
1,"15.70 history of Europe.",1830,19
1,"15.70 history of Europe.",1831,14
1,"15.70 history of Europe.",1832,12
1,"15.70 history of Europe.",1833,10
1,"15.70 history of Europe.",1834,10
1,"15.70 history of Europe.",1835,10
1,"15.70 history of Europe.",1836,8
1,"15.70 history of Europe.",1837,7
1,"15.70 history of Europe.",1838,10
1,"15.70 history of Europe.",1839,13
1,"15.70 history of Europe.",1840,19
1,"15.70 history of Europe.",1841,10
1,"15.70 history of Europe.",1842,9
1,"15.70 history of Europe.",1843,11
1,"15.70 history of Europe.",1844,13
1,"15.70 history of Europe.",1845,10
1,"15.70 history of Europe.",1846,10
1,"15.70 history of Europe.",1847,9
1,"15.70 history of Europe.",1848,18
1,"15.70 history of Europe.",1849,12
1,"15.70 history of Europe.",1850,19
1,"15.70 history of Europe.",1851,12
1,"15.70 history of Europe.",1852,15
1,"15.70 history of Europe.",1853,14
1,"15.70 history of Europe.",1854,14
1,"15.70 history of Europe.",1855,8
1,"15.70 history of Europe.",1856,14
1,"15.70 history of Europe.",1857,16
1,"15.70 history of Europe.",1858,16
1,"15.70 history of Europe.",1859,16
1,"15.70 history of Europe.",1860,18
1,"15.70 history of Europe.",1861,19
1,"15.70 history of Europe.",1862,22
1,"15.70 history of Europe.",1863,24
1,"15.70 history of Europe.",1864,20
1,"15.70 history of Europe.",1865,15
1,"15.70 history of Europe.",1866,18
1,"15.70 history of Europe.",1867,22
1,"15.70 history of Europe.",1868,20
1,"15.70 history of Europe.",1869,23
1,"15.70 history of Europe.",1870,22
1,"15.70 history of Europe.",1871,14
1,"15.70 history of Europe.",1872,20
1,"15.70 history of Europe.",1873,25
1,"15.70 history of Europe.",1874,22
1,"15.70 history of Europe.",1875,23
1,"15.70 history of Europe.",1876,29
1,"15.70 history of Europe.",1877,22
1,"15.70 history of Europe.",1878,19
1,"15.70 history of Europe.",1879,28
1,"15.70 history of Europe.",1880,15
1,"15.70 history of Europe.",1881,14
1,"15.70 history of Europe.",1882,19
1,"15.70 history of Europe.",1883,29
1,"15.70 history of Europe.",1884,16
1,"15.70 history of Europe.",1885,21
1,"15.70 history of Europe.",1886,27
1,"15.70 history of Europe.",1887,18
1,"15.70 history of Europe.",1888,17
1,"15.70 history of Europe.",1889,26
1,"15.70 history of Europe.",1890,23
1,"15.70 history of Europe.",1891,26
1,"15.70 history of Europe.",1892,23
1,"15.70 history of Europe.",1893,16
1,"15.70 history of Europe.",1894,12
1,"15.70 history of Europe.",1895,14
1,"15.70 history of Europe.",1896,18
1,"15.70 history of Europe.",1897,26
1,"15.70 history of Europe.",1898,28
1,"15.70 history of Europe.",1899,22
1,"15.70 history of Europe.",1900,26
1,"15.70 history of Europe.",1901,27
1,"15.70 history of Europe.",1902,33
1,"15.70 history of Europe.",1903,37
1,"15.70 history of Europe.",1904,23
1,"15.70 history of Europe.",1905,36
1,"15.70 history of Europe.",1906,31
1,"15.70 history of Europe.",1907,44
1,"15.70 history of Europe.",1908,39
1,"15.70 history of Europe.",1909,43
1,"15.70 history of Europe.",1910,36
1,"15.70 history of Europe.",1911,25
1,"15.70 history of Europe.",1912,34
1,"15.70 history of Europe.",1913,46
1,"15.70 history of Europe.",1914,57
1,"15.70 history of Europe.",1915,68
1,"15.70 history of Europe.",1916,46
1,"15.70 history of Europe.",1917,67
1,"15.70 history of Europe.",1918,49
1,"15.70 history of Europe.",1919,38
1,"15.70 history of Europe.",1920,43
1,"15.70 history of Europe.",1921,32
1,"15.70 history of Europe.",1922,34
1,"15.70 history of Europe.",1923,30
1,"15.70 history of Europe.",1924,37
1,"15.70 history of Europe.",1925,45
1,"15.70 history of Europe.",1926,35
1,"15.70 history of Europe.",1927,58
1,"15.70 history of Europe.",1928,44
1,"15.70 history of Europe.",1929,56
1,"15.70 history of Europe.",1930,42
1,"15.70 history of Europe.",1931,42
1,"15.70 history of Europe.",1932,55
1,"15.70 history of Europe.",1933,64
1,"15.70 history of Europe.",1934,47
1,"15.70 history of Europe.",1935,53
1,"15.70 history of Europe.",1936,61
1,"15.70 history of Europe.",1937,72
1,"15.70 history of Europe.",1938,56
1,"15.70 history of Europe.",1939,67
1,"15.70 history of Europe.",1940,72
1,"15.70 history of Europe.",1941,76
1,"15.70 history of Europe.",1942,45
1,"15.70 history of Europe.",1943,38
1,"15.70 history of Europe.",1944,45
1,"15.70 history of Europe.",1945,123
1,"15.70 history of Europe.",1946,111
1,"15.70 history of Europe.",1947,97
1,"15.70 history of Europe.",1948,98
1,"15.70 history of Europe.",1949,77
1,"15.70 history of Europe.",194u,1
1,"15.70 history of Europe.",1950,94
1,"15.70 history of Europe.",1951,62
1,"15.70 history of Europe.",1952,77
1,"15.70 history of Europe.",1953,66
1,"15.70 history of Europe.",1954,80
1,"15.70 history of Europe.",1955,83
1,"15.70 history of Europe.",1956,76
1,"15.70 history of Europe.",1957,76
1,"15.70 history of Europe.",1958,80
1,"15.70 history of Europe.",1959,113
1,"15.70 history of Europe.",1960,106
1,"15.70 history of Europe.",1961,114
1,"15.70 history of Europe.",1962,144
1,"15.70 history of Europe.",1963,130
1,"15.70 history of Europe.",1964,145
1,"15.70 history of Europe.",1965,174
1,"15.70 history of Europe.",1966,179
1,"15.70 history of Europe.",1967,201
1,"15.70 history of Europe.",1968,187
1,"15.70 history of Europe.",1969,223
1,"15.70 history of Europe.",1970,215
1,"15.70 history of Europe.",1971,208
1,"15.70 history of Europe.",1972,216
1,"15.70 history of Europe.",1973,230
1,"15.70 history of Europe.",1974,229
1,"15.70 history of Europe.",1975,284
1,"15.70 history of Europe.",1976,261
1,"15.70 history of Europe.",1977,316
1,"15.70 history of Europe.",1978,333
1,"15.70 history of Europe.",1979,283
1,"15.70 history of Europe.",1980,271
1,"15.70 history of Europe.",1981,270
1,"15.70 history of Europe.",1982,247
1,"15.70 history of Europe.",1983,273
1,"15.70 history of Europe.",1984,280
1,"15.70 history of Europe.",1985,308
1,"15.70 history of Europe.",1986,318
1,"15.70 history of Europe.",1987,285
1,"15.70 history of Europe.",1988,301
1,"15.70 history of Europe.",1989,299
1,"15.70 history of Europe.",198u,2
1,"15.70 history of Europe.",1990,382
1,"15.70 history of Europe.",1991,381
1,"15.70 history of Europe.",1992,449
1,"15.70 history of Europe.",1993,398
1,"15.70 history of Europe.",1994,400
1,"15.70 history of Europe.",1995,424
1,"15.70 history of Europe.",1996,398
1,"15.70 history of Europe.",1997,342
1,"15.70 history of Europe.",1998,412
1,"15.70 history of Europe.",1999,311
1,"15.70 history of Europe.",2000,371
1,"15.70 history of Europe.",2001,321
1,"15.70 history of Europe.",2002,280
1,"15.70 history of Europe.",2003,265
1,"15.70 history of Europe.",2004,255
1,"15.70 history of Europe.",2005,247
1,"15.70 history of Europe.",2006,194
1,"15.70 history of Europe.",2007,235
1,"15.70 history of Europe.",2008,191
1,"15.70 history of Europe.",2009,175
1,"15.70 history of Europe.",2010,132
1,"15.70 history of Europe.",2011,146
1,"15.70 history of Europe.",2012,38
1,"15.70 history of Europe.",2013,37
1,"15.70 history of Europe.",2014,66
1,"15.70 history of Europe.",2015,56
1,"15.70 history of Europe.",2016,28
1,"15.70 history of Europe.",2017,21
1,"15.70 history of Europe.",2018,13
1,"15.70 history of Europe.",2019,9
1,"15.70 history of Europe.",2020,1
2,"18.11 Dutch literature.",1557,1
2,"18.11 Dutch literature.",1561,2
